marker_id,latitude,longitude,fish,source,source_url,source_id,date,sector,confidence_class,reports_count,published_rows,comment,depth,method,catch,nearest_landmark,landmark_distance_km,distance_from_novaya_ladoga_km,context_reports_count
P107,60.187433,31.633171,Налим; Плотва,FisherMap,https://ru.fishermap.org/location/16574/,16574,2019-02-01,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,7.607,37.743,
P108,60.226807,31.788919,Плотва; Щука; Язь,FisherMap,https://ru.fishermap.org/location/16595/,16595,2019-04-22,Лигово,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Лигово,1.67,31.112,
P109,60.064805,32.345053,Лещ; Язь,FisherMap,https://ru.fishermap.org/location/16604/,16604,2019-05-09,Нижний Волхов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,1.316,5.171,
P110,60.148447,32.242821,Окунь; Судак,FisherMap,https://ru.fishermap.org/location/16626/,16626,2019-08-13,Креницы / Волховская губа,B,1,1,"Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Окунь, судак (FisherMap).",,,,Креницы / Волховская губа,1.598,5.725,
P111,60.225864,31.982064,Щука,FisherMap,https://ru.fishermap.org/location/16637/,16637,2019-09-11,Дубно,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Щука (FisherMap).,,,,Дубно,0.975,21.96,
P112,60.130917,32.333886,Густера; Плотва,FisherMap,https://ru.fishermap.org/location/20067/,20067,2019-08-09,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,1.629,3.747,
P113,60.225408,32.129243,Окунь,FisherMap,https://ru.fishermap.org/location/20188/,20188,2022-01-04,о. Птинов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,о. Птинов,4.19,16.315,
P114,60.119097,32.340207,Плотва,FisherMap,https://ru.fishermap.org/location/20191/,20191,2022-04-06,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,1.126,3.08,
P115,60.285915,32.601296,Густера; Налим; Плотва,FisherMap; fishing-report.ru,https://ru.fishermap.org/location/20195/; https://fishing-report.ru/35610/,20195; 35610,2022-11-29—2022-12-07,Вороново,B,2,2,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Вороново — геометка отчёта (геометка отчёта). | Публичная геометка отчёта fishing-report.ru. Волховская губа. Отчёт с опозданием Ладога. Вороново.,,,,Вороново,0,26.438,
P116,60.021502,31.475682,Окунь; Сиг,FisherMap,https://ru.fishermap.org/location/20200/,20200,2023-01-14,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,4.235,46.32,
P117,60.129703,32.242394,Щука,FisherMap,https://ru.fishermap.org/location/20204/,20204,2023-02-05,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,3.507,4.064,
P118,60.028511,31.469672,Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/20205/,20205,2023-02-15,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,4.465,46.496,
P119,60.132812,32.239792,Щука,FisherMap,https://ru.fishermap.org/location/20206/,20206,2023-02-16,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,3.223,4.414,
P120,60.070309,31.382218,Окунь,FisherMap; fishing-report.ru,https://ru.fishermap.org/location/20207/; https://fishing-report.ru/38126/,20207; 38126,2023-02-25—2023-03-05,Кобона / южный берег,B,2,2,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. | Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Кобона. 25.02.2023. Неожиданный выход на 7.5 м. Были с женой — «накоротке» — удовольствие получили) всем добра и НХНЧ!!!,,,,Кобона / южный берег,10.336,50.694,
P121,60.028196,31.529794,Плотва,FisherMap,https://ru.fishermap.org/location/20209/,20209,2023-04-04,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,1.14,43.225,
P122,60.058404,32.339714,Лещ,FisherMap,https://ru.fishermap.org/location/20215/,20215,2023-09-17,Нижний Волхов,B,1,1,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,1.883,5.641,
P123,60.135595,32.455839,Лещ,FisherMap,https://ru.fishermap.org/location/20239/,20239,2021-05-10,Новая Ладога / устье Волхова,B,1,1,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Новая Ладога / устье Волхова,7.774,9.642,
P124,60.105391,31.57502,Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/20271/,20271,2022-02-12,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,2.529,39.846,
P125,60.11502,32.306801,Карась,FisherMap; fishing-report.ru,https://ru.fishermap.org/location/20283/; https://fishing-report.ru/40490/,20283; 40490,2023-05-12—2023-05-13,Новая Ладога / устье Волхова,B,2,2,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан. | Публичная геометка отчёта fishing-report.ru. устьевая зона Новой Ладоги. Новая Ладога. Канал -->,,,,Новая Ладога / устье Волхова,0.803,1.444,
P126,60.085507,32.314274,Карась,FisherMap; fishing-report.ru,https://ru.fishermap.org/location/20284/; https://fishing-report.ru/40520/,20284; 40520,2023-05-12—2023-05-14,Нижний Волхов,B,2,2,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов. | Публичная геометка отчёта fishing-report.ru. нижний Волхов. Открыли сезон. Первый кемпенговый выезд на Волхов -->,,,,Нижний Волхов,1.563,2.316,
P127,60.262203,31.943687,Окунь,FisherMap; fishing-report.ru,https://ru.fishermap.org/location/20292/; https://fishing-report.ru/51112/,20292; 51112,2024-02-10—2024-02-17,Дубно,B,2,2,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Дубно — хорошая рыбалка (геометка отчёта). | Публичная геометка отчёта fishing-report.ru. Ладожское озеро. Дубно! Отличная погода и хорошая рыбалка! -->,,,,Дубно,3.769,26.186,
P128,59.978608,31.418379,Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/20303/,20303,2023-12-17,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,9.284,50.571,
P129,60.029512,31.508122,Плотва,FisherMap,https://ru.fishermap.org/location/20306/,20306,2024-03-11,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,2.327,44.377,
P130,59.977616,31.718685,Щука,FisherMap,https://ru.fishermap.org/location/20307/,20307,2022-05-27,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Кобона / южный берег,11.039,34.887,
P131,60.268015,32.321594,Судак,FisherMap,https://ru.fishermap.org/location/20310/,20310,2023-07-31,Варецкие банки,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Варецкие банки,12.317,18.333,
P132,60.146112,32.306103,Окунь; Щука,FisherMap,https://ru.fishermap.org/location/20311/,20311,2023-09-04,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,2.982,4.762,
P133,60.027102,31.490503,Плотва,FisherMap,https://ru.fishermap.org/location/20313/,20313,2023-12-09,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,3.321,45.389,
P134,60.181919,32.176908,Щука,FisherMap,https://ru.fishermap.org/location/20314/,20314,2023-12-16,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,5.202,10.845,
P135,60.024504,31.495277,Окунь,FisherMap,https://ru.fishermap.org/location/20315/,20315,2024-01-27,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,3.101,45.186,
P136,60.051801,31.412675,Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/20319/,20319,2024-02-21,Кобона / южный берег,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,8.002,49.222,
P137,60.185097,32.173108,Плотва; Щука,FisherMap,https://ru.fishermap.org/location/20321/,20321,2024-03-13,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,5.557,11.254,
P138,60.161998,32.21751,Плотва,FisherMap,https://ru.fishermap.org/location/20322/,20322,2024-03-19,Креницы / Волховская губа,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,2.361,7.742,
P139,60.178317,31.667315,Щука,FisherMap,https://ru.fishermap.org/location/20324/,20324,2024-02-21,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Шлиссельбург / бухта Петрокрепость,7.219,35.67,
P140,60.131007,31.608684,Густера,FisherMap,https://ru.fishermap.org/location/21215/,21215,2024-06-07,Шлиссельбург / бухта Петрокрепость,B,1,1,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.226,38.086,
P141,60.073101,32.333503,Лещ,fishing-report.ru,https://fishing-report.ru/120755/,120755,2026-09-21,Нижний Волхов,B,1,1,"Публичная геометка отчёта fishing-report.ru. нижний Волхов. Всем привет.👋Ну что сказать, Волхов в этот раз выдал по полной! Эмоции зашкаливают — таких мощных поклевок я давно не припомню. Рыбалка была непростой: ветер лютый, дождь поливал переодически, но нас это не остановило. «Алешки» (лещи) как на подбор — все ровные, от 1,5 до 2 кг. Самый крупный потянул на 2,2 кг. 🎣 Было очень много сходов, адреналина — море! Рыба берет так резко, что даже шнур 0,16 не выдерживал и рвался на рывках. Еще удалось взять одного линя, но, похоже, их сезон уже подходит к концу . Зацепил кормушку местного умельца -это нечто .В общем, рыбалка удалась, несмотря на капризы погоды.Всем НХНЧ. -->",,,,Нижний Волхов,0.213,4.048,
P142,60.055385,32.341386,Густера; Карась; Лещ; Подлещик; Синец,fishing-report.ru,https://fishing-report.ru/120199/; https://fishing-report.ru/7090/,120199; 7090,2021-08-10—2026-05-08,Нижний Волхов,A,2,2,"Публичная геометка отчёта fishing-report.ru. нижний Волхов. Волхов [id792616711|Александр П] --> | Публичная геометка отчёта fishing-report.ru. нижний Волхов. Волхвов 2 мая сопа, клевала набегами. Предыдущий массив: Поляша — лещ (точный GPS из отчёта).",,,,Нижний Волхов,2.23,5.982,
P143,60.268709,31.852692,Судак,fishing-report.ru,https://fishing-report.ru/119872/,119872,2026-02-18,Лигово,B,1,1,"Публичная геометка отчёта fishing-report.ru. Ладожское озеро. Отчитаюсь. Лигово 16 и 17 ое число (на фото уловы разных дней), смотрю инфу никто не сливает…а все порят по тихому😂😂😂. Мармулет в почете, все дзюбят, но были исключения (кстати видел кадра который прицепил к судаковой удочке с катушкой кивок и поставил мормулет, кстати даже что то ловил😂😂😂 . От берега 3 км. Доклад закончил! P.S. умудрился засадить машину на полном приводе, огромное спасибо товарищам по увлечению на Ниве которые не бросили в беде и помогли вытащить. [id530215775|Кирилл Космос] --> Предыдущий массив: Лигово — судак (геометка отчёта).",,,,Лигово,5.11,30.525,
P144,59.928905,31.370381,Окунь,fishing-report.ru,https://fishing-report.ru/95002/,95002,2025-11-04,Кобона / южный берег,B,1,1,"Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Назия, сегодня пороли все! [id530215775|Кирилл Космос] -->",,,,Кобона / южный берег,15.041,54.881,
P145,60.017712,31.474687,Окунь,fishing-report.ru,https://fishing-report.ru/58712/,58712,2025-01-23,Кобона / южный берег,B,1,1,"Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Ладога! Кобона! Окунь, и он нас ждал! Конечно он пытался нас вымотать и взять измором ( чтобы от бессилия руки не поднимались после 2 х часовой раздачи) . Мы смогли!!! Всех детей в лунку! [id22800698|Александр Шмидт] -->",,,,Кобона / южный берег,4.402,46.461,
P146,60.405998,32.091712,Окунь,fishing-report.ru,https://fishing-report.ru/50674/,50674,2024-01-28,о. Сухо,B,1,1,"Публичная геометка отчёта fishing-report.ru. Ладожское озеро. Остров Сухо ! Наша экспедиция состоялась! Зимой мы здесь впервые! Летом бываем переодически и ловим окуня! Цель поездки была безусловно поимка морда того окуня , так как мелочь надоела ! В итоге полный 0. На грядах и на свалках ,а так же на глубинах до 4 метров окунь отсутствует! Сфотографировались на память и погнали в Дубно! Там подловили десятка 3 окуней и по каналу ,уже затемно поехали в креницы! -->",,,,о. Сухо,0,35.417,
P147,60.04941,32.344204,Карп,fishing-report.ru,https://fishing-report.ru/49035/,49035,2023-11-02,Нижний Волхов,B,1,1,Публичная геометка отчёта fishing-report.ru. нижний Волхов. -->,,,,Нижний Волхов,2.913,6.65,
P148,60.284315,32.613413,,fishing-report.ru,https://fishing-report.ru/37135/,37135,2023-01-17,Вороново,B,1,1,Публичная геометка отчёта fishing-report.ru. Волховская губа.,,,,Вороново,0.691,26.74,
P149,59.991515,31.421005,,fishing-report.ru,https://fishing-report.ru/36310/,36310,2023-01-03,Кобона / южный берег,B,1,1,Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость.,,,,Кобона / южный берег,8.349,50.045,
P150,60.256104,32.13682,,fishing-report.ru,https://fishing-report.ru/32331/,32331,2022-06-24,о. Птинов,B,1,1,Публичная геометка отчёта fishing-report.ru. Волховская губа.,,,,о. Птинов,3.201,19.044,
P151,60.024603,31.556335,Окунь; Сорожка,fishing-report.ru,https://fishing-report.ru/29524/,29524,2022-02-26,Кобона / южный берег,B,1,1,Публичная геометка отчёта fishing-report.ru. южный берег/Петрокрепость; служебное имя водоёма.,,,,Кобона / южный берег,0.696,41.866,
P152,60.248535,32.044871,Щука,fishing-report.ru,https://fishing-report.ru/29385/,29385,2022-02-21,о. Птинов,B,1,1,"Публичная геометка отчёта fishing-report.ru. Ладожское озеро. Хорошо вчера отловились в Дубно. 11хвостов, от 7кг до 1кг, клевало до 13.00 пока не начался снег с метелью, рыбалка хорошая но добраться до места, это дорогого стоит ? Предыдущий массив: Дубно — щука (геометка отчёта).",,,,о. Птинов,1.968,21.192,
P153,60.239988,31.705373,,fishing-report.ru,https://fishing-report.ru/27999/,27999,2022-02-04,Лигово,B,1,1,Публичная геометка отчёта fishing-report.ru. Ладожское озеро. Ладога неужели обрадовала)),,,,Лигово,4.057,35.909,
P154,59.982424,31.493579,,fishing-report.ru,https://fishing-report.ru/25778/,25778,2022-01-22,Кобона / южный берег,B,1,1,"Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Ладога, ветерок, но полосатый вяленько берет.",,,,Кобона / южный берег,6.15,46.443,
P155,60.018017,31.46597,,fishing-report.ru,https://fishing-report.ru/25668/,25668,2022-01-19,Кобона / южный берег,B,1,1,"Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Кобона вчера. Лифт с 10.00до 13.00. В остальное время вяло, но приятно.",,,,Кобона / южный берег,4.855,46.928,
P156,59.909595,31.478386,,fishing-report.ru,https://fishing-report.ru/25501/,25501,2022-01-18,Кобона / южный берег,B,1,1,Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Сегодня шальдиха рыбу отпустил,,,,Кобона / южный берег,13.969,50.211,
P157,60.453142,32.797262,Щука,fishing-report.ru,https://fishing-report.ru/18476/,18476,2021-12-14,Свирица / Загубская губа,B,1,1,Публичная геометка отчёта fishing-report.ru. Загубская губа. Открытие сезона. Жерлицы Щука. https://youtu.be/9yfnDb0FT0c,,,,Свирица / Загубская губа,1.295,47.744,
P158,60.240732,32.012897,Окунь,fishing-report.ru,https://fishing-report.ru/14053/,14053,2021-10-14,Дубно,B,1,1,Публичная геометка отчёта fishing-report.ru. Ладожское озеро. Всем привет! Окушек брал вяло но под вечер разошёлся! 08.10.21г Предыдущий массив: Окунь (геометка отчёта).,,,,Дубно,1.767,21.767,
P159,59.911808,31.395548,Щука,fishing-report.ru,https://fishing-report.ru/13972/,13972,2021-10-13,Кобона / южный берег,B,1,1,"Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Спасибо Ладога. За последние не очень удачные рыбалки по хищнику, сегодня немного оторвались. И бонус жене дала.",,,,Кобона / южный берег,15.703,54.306,
P160,59.969472,31.418269,Окунь,fishing-report.ru,https://fishing-report.ru/13963/,13963,2021-10-13,Кобона / южный берег,B,1,1,Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Сегодня был первый раз на Ладоге за много лет И по мне так удачно,,,,Кобона / южный берег,9.947,50.872,
P161,60.057829,32.339528,,fishing-report.ru,https://fishing-report.ru/11593/,11593,2021-10-07,Нижний Волхов,B,1,1,"Публичная геометка отчёта fishing-report.ru. нижний Волхов. Волхов. 4.10.21 рыбка поклевывает, с утра дубак руки замерзают, вода сильно ушла. Взял сколько нужно остальную отпускал.",,,,Нижний Волхов,1.943,5.693,
P162,59.981464,31.384679,,fishing-report.ru,https://fishing-report.ru/10333/,10333,2021-09-16,Кобона / южный берег,B,1,1,Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость.,,,,Кобона / южный берег,10.657,52.287,
P163,60.186123,32.193626,,fishing-report.ru,https://fishing-report.ru/8997/,8997,2021-08-31,Креницы / Волховская губа,B,1,1,Публичная геометка отчёта fishing-report.ru. Волховская губа. В субботу поехали на базу Креницы. Взяли пелу и в Ладогу. Ловили в заброс. Предыдущий массив: Ловля в заброс (геометка отчёта).,,,,Креницы / Волховская губа,4.681,10.716,
P164,60.130961,32.330439,Щука,fishing-report.ru,https://fishing-report.ru/8392/,8392,2021-08-22,Новая Ладога / устье Волхова,B,1,1,Публичная геометка отчёта fishing-report.ru. Волховская губа. Креницы Предыдущий массив: Щука (геометка отчёта).,,,,Новая Ладога / устье Волхова,1.553,3.642,
P165,60.283298,32.630563,Плотва,fishing-report.ru,https://fishing-report.ru/7087/,7087,2021-08-10,Вороново,B,1,1,"Публичная геометка отчёта fishing-report.ru. нижний Волхов. Волхов для нас с мужем остался непокоренным. В 11 смотали удочки и поехали на канал, он как всегда не подвёл. Фидер, опарыш. Времени потеряли много, но на сковородку наловили, голод утолила женщина ??! Ветер порывистый, рыб клюёт, но на крючок 1/10 попадается, осторожничает! Густера, плотва, размер съедобный!",,,,Вороново,1.639,27.292,
P166,60.027601,31.509968,Налим,fishing-report.ru,https://fishing-report.ru/2368/,2368,2021-03-20,Кобона / южный берег,B,1,1,"Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Я сегодня вам принёс не букет из роз мимоз, а букееетик из плоотвыыы. Рванул таки на не самую перспективную, но такую долгожданную рыбалку. В ночь за плотвой. За налимом только мечтаю сходить.. Тем кто не любит читать много букв, можно посмотреть короткое видео об этой рыбалке: https://youtu.be/8dm7EPcLUdo Ни проверенной информации, ни уверенности в успехе мероприятия не было, но было желание побывать в окрестностях Зеленцов, проведать матушку Ладогу. Школьный друг, который постепенно превращается в зимника, но до сих пор ходит с моими снастями и экипировкой, составил мне компанию. Для него это была первая ночная рыбалка на льду. Чуть дубу не дал в ночи, но ему понравилось. Пока ехали, погода шептала, как остановились в Кобоне на берегу, зарядила пурга. Да такая, что видимость упала до мин",,,,Кобона / южный берег,2.24,44.318,
P167,60.251624,31.873992,,fishing-report.ru,https://fishing-report.ru/2051/,2051,2021-02-14,Лигово,B,1,1,Публичная геометка отчёта fishing-report.ru. Ладожское озеро. Сегодня.Ладога. Мороз.,,,,Лигово,5.382,28.459,
P168,59.90869,31.473646,Окунь,fishing-report.ru,https://fishing-report.ru/1935/,1935,2021-02-12,Кобона / южный берег,B,1,1,"Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Доброго времени суток, друзья! Сегодня вновь побывал на Южном берегу Ладожского озера, выходил на лёд в районе Верхней Шелудихи с твёрдым намерением ловить далеко от берега и от толпы выходного дня. Вот и ходил, искал. Весь день. А народ в тросте дзюбил. Некоторые как оказалось, очень удачно. Лёд подмерзает, но есть и живые трещины. Берегите себя, не рискуете напрасно, берите пешни, верёвку и спасалки» Полный отчёт с глубинами, приманками и уловом, можно подсмотреть тут: https://youtu.be/KjfPUI0Xhkc Сегодня многие не увидели и поклёвки, но есть и те, кто напорол. Рыба капризная. Погода шик. Как у вас сложился последний выход на лёд?",,,,Кобона / южный берег,14.142,50.493,
P169,59.907043,31.467525,Окунь,fishing-report.ru,https://fishing-report.ru/1931/,1931,2021-02-12,Кобона / южный берег,B,1,1,"Публичная геометка отчёта fishing-report.ru. бухта Петрокрепость. Всем привет из Санкт-Петербурга и с берега Ладожского озера! На излёте этого непростого года, решил устроить себе нетипичный понедельник. Посетил секретное» место ЮБЛО, на букву Ша. Возможно инфо будет полезна, тем кто ещё хочет успеть наловить на уху С самого начала, отскочил от тростника, но рыбу с помощью балансира и блесны, поймать не смог. Ближе к обеду, пошёл в берег, на грани тросты и открытой воды, качнул пару лунок. Есть пара трещин, но не не опасных, тем не менее, будьте осторожны. Лёд нормальный, отходил не далее 1 км, но были и те, кто ушёл дальше и там сгруппировался. Я к ним не пошёл, но несколько человек из тросты туда рванули, что поймали неизвестно. Окунь пассивный, надо уговаривать. Брал на долгой паузе. Мормышка одна выручила (пчёлка»), пришлось подбирать. Из двух десятк",,,,Кобона / южный берег,14.422,50.88,
P170,60.092493,32.306857,Щука,fishing-report.ru,https://fishing-report.ru/1122/,1122,2021-01-09,Нижний Волхов,B,1,1,Публичная геометка отчёта fishing-report.ru. нижний Волхов. Поймали на Волхове на Спиннинг),,,,Нижний Волхов,2.426,1.437,
P171,60.112368,32.333022,Густера; Лещ; Линь; Щука,Telegram: Рыболовная сводка Спб,https://t.me/rybalka_spb_lenoblasti/24765; https://t.me/rybalka_spb_lenoblasti/19629,24765; 19629,2025-09-20—2026-06-10,Новая Ладога / устье Волхова,A,2,2,"Немятово, поплавок и червь; координаты локации опубликованы в тексте поста. Предыдущий массив: Немятово — лещ, густера, линь (точный GPS из отчёта). | Ново-Свирский канал у пересечения с Волховом; координаты локации опубликованы в тексте поста.",,"вертушка, с берега",,Новая Ладога / устье Волхова,0.955,2.368,
P172,60.121145,32.29689,Плотва,Telegram: Рыболовная сводка Спб,https://t.me/rybalka_spb_lenoblasti/23021,23021,2026-03-13,Новая Ладога / устье Волхова,A,1,1,"Креницы, 9 км; координаты опубликованы в тексте поста. Предыдущий массив: Креницы — плотва, 2.3 м (точный GPS из отчёта).",2.3 м,,,Новая Ладога / устье Волхова,1.327,1.945,
P173,60.27479,32.066842,,ПКР / fisher.spb.ru,https://fisher.spb.ru/news/message-bycatalog.php?category=5&water=157,water-157,,о. Птинов,C,1,1,"Точка каталога района «Варецкие банки». В архиве 116 сообщений; это справочная повторяемость названия, а не 116 GPS-отчётов, поэтому в плотность добавлена одна точка C.",,,,о. Птинов,2.444,22.793,116
P174,60.234609,31.983349,,ПКР / fisher.spb.ru,https://fisher.spb.ru/news/message-bycatalog.php?category=5&water=161,water-161,,Дубно,C,1,1,"Точка каталога района «Дубно». В архиве 960 сообщений; это справочная повторяемость названия, а не 960 GPS-отчётов, поэтому в плотность добавлена одна точка C.",,,,Дубно,0,22.518,960
P175,60.133145,32.284981,,ПКР / fisher.spb.ru,https://fisher.spb.ru/news/message-bycatalog.php?category=5&water=166,water-166,,Новая Ладога / устье Волхова,C,1,1,"Точка каталога района «Креницы». В архиве 2986 сообщений; это справочная повторяемость названия, а не 2986 GPS-отчётов, поэтому в плотность добавлена одна точка C.",,,,Новая Ладога / устье Волхова,2.569,3.311,2986
P176,60.240971,31.778853,,ПКР / fisher.spb.ru,https://fisher.spb.ru/news/message-bycatalog.php?category=5&water=172,water-172,,Лигово,C,1,1,"Точка каталога района «Лигово». В архиве 671 сообщений; это справочная повторяемость названия, а не 671 GPS-отчётов, поэтому в плотность добавлена одна точка C.",,,,Лигово,0,32.321,671
P177,60.155861,32.337228,,ПКР / fisher.spb.ru,https://fisher.spb.ru/news/message-bycatalog.php?category=5&water=175,water-175,,Креницы / Волховская губа,C,1,1,"Точка каталога района «Новая Ладога». В архиве 338 сообщений; это справочная повторяемость названия, а не 338 GPS-отчётов, поэтому в плотность добавлена одна точка C.",,,,Креницы / Волховская губа,4.298,6.274,338
P178,60.229273,32.085666,,ПКР / fisher.spb.ru,https://fisher.spb.ru/news/message-bycatalog.php?category=5&water=176,water-176,,о. Птинов,C,1,1,"Точка каталога района «о-в Птинов». В архиве 204 сообщений; это справочная повторяемость названия, а не 204 GPS-отчётов, поэтому в плотность добавлена одна точка C.",,,,о. Птинов,2.736,18.103,204
P179,60.197533,32.189567,Окунь,Предыдущее исследование,,prior-05,,Креницы / Волховская губа,A,1,1,Координата восстановлена из ladoga_points_preliminary.csv предыдущего чата; исходная публичная ссылка в файле не сохранена. Креницы — окунь 18 кг,,,,Креницы / Волховская губа,5.708,11.926,
P180,60.177483,32.252517,Окунь,Предыдущее исследование,,prior-06,,Креницы / Волховская губа,A,1,1,Координата восстановлена из ladoga_points_preliminary.csv предыдущего чата; исходная публичная ссылка в файле не сохранена. Креницы — окунь,,,,Креницы / Волховская губа,1.988,8.518,
P181,60.171933,32.27465,Плотва,Предыдущее исследование,,prior-07,,Креницы / Волховская губа,A,1,1,Координата восстановлена из ladoga_points_preliminary.csv предыдущего чата; исходная публичная ссылка в файле не сохранена. Креницы — плотва,,,,Креницы / Волховская губа,1.555,7.661,
P182,60.1565,32.278783,Плотва,Предыдущее исследование,,prior-08,,Креницы / Волховская губа,A,1,1,Координата восстановлена из ladoga_points_preliminary.csv предыдущего чата; исходная публичная ссылка в файле не сохранена. Креницы — плотва,,,,Креницы / Волховская губа,1.11,5.93,
P183,60.162306,32.292472,Плотва,Предыдущее исследование,,prior-09,,Креницы / Волховская губа,A,1,1,Координата восстановлена из ladoga_points_preliminary.csv предыдущего чата; исходная публичная ссылка в файле не сохранена. Креницы — плотва 20 кг,,,,Креницы / Волховская губа,1.815,6.516,
P184,60.207317,32.178383,Плотва,Предыдущее исследование,,prior-10,,Креницы / Волховская губа,A,1,1,Координата восстановлена из ladoga_points_preliminary.csv предыдущего чата; исходная публичная ссылка в файле не сохранена. Креницы — плотва ~40 кг,,,,Креницы / Волховская губа,6.931,13.177,
P185,60.217083,32.181783,Плотва,Предыдущее исследование,,prior-11,,о. Птинов,A,1,1,Координата восстановлена из ladoga_points_preliminary.csv предыдущего чата; исходная публичная ссылка в файле не сохранена. Креницы — плотва,,,,о. Птинов,6.981,14.052,
P186,60.09417,32.31388,Лещ,Предыдущее исследование,,prior-16,,Нижний Волхов,A,1,1,Координата восстановлена из ladoga_points_preliminary.csv предыдущего чата; исходная публичная ссылка в файле не сохранена. Остров Ленина — лещ,,,,Нижний Волхов,2.381,1.531,
